Source Address,Source Port,Port Name,Destination Address,Destination Port,Port Name,VPC Name
10.244.201.135,1023.0,Reserved,10.249.1.191,1009.0,unkown,['10.0.0.0/8']
10.45.33.253,20702.0,unkown,10.249.11.6,46226.0,unkown,['10.0.0.0/8']
10.247.29.218,46718.0,unkown,10.249.11.6,22.0,SSH Remote Login Protocol,['10.0.0.0/8']
172.31.28.19,28001.0,unkown,10.249.11.6,40491.0,unkown,['10.0.0.0/8']
10.207.88.61,64718.0,unkown,10.249.1.122,80.0,World Wide Web HTTP,['10.0.0.0/8']
10.74.67.138,49894.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.0.96.180,57905.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.164.56.106,56525.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.70.23.238,64604.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.159.64.2,57104.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.0.96.179,64363.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.0.96.68,50139.0,unkown,10.249.1.122,81.0,HOSTS2 Name Server / Bagle-AZ worm / Win32.Rbot worm,['10.0.0.0/8']
10.70.10.154,58072.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.0.96.181,51004.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.205.66.94,53636.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.159.53.164,59349.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.205.128.197,57315.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.164.12.27,53222.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.0.96.121,58226.0,unkown,10.249.1.122,81.0,HOSTS2 Name Server / Bagle-AZ worm / Win32.Rbot worm,['10.0.0.0/8']
10.141.161.162,64430.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.70.151.17,51359.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.21.146.142,63957.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.208.168.202,52172.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.0.96.88,59748.0,unkown,10.249.1.122,81.0,HOSTS2 Name Server / Bagle-AZ worm / Win32.Rbot worm,['10.0.0.0/8']
10.161.81.232,62306.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.159.50.59,51215.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.70.148.108,61932.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.198.177.201,49857.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.205.93.57,57674.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.0.96.72,61957.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.70.131.122,52568.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.205.64.207,55934.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.205.208.118,49836.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.205.66.177,59965.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.159.52.72,52684.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.0.96.176,53214.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.0.96.131,56719.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
10.159.51.22,59564.0,unkown,10.249.1.122,445.0,Microsoft-DS,['10.0.0.0/8']
172.31.28.65,nan,unkown,10.249.0.167,nan,unkown,['10.0.0.0/8']
10.205.210.151,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.205.77.112,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.205.77.84,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.221.12.177,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.208.66.134,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.210.178.113,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.153.89,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.198.180.45,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.141.202.177,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.208.66.155,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.152.144,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.153.92,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.208.170.115,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.198.180.144,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.207.67.143,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.198.180.76,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.201.99.36,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.221.12.114,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.207.154.114,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.221.12.198,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.153.9,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.152.205,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.221.12.206,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.207.179.174,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.153.78,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.201.99.50,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.201.186.24,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.211.90.112,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.205.77.122,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.211.82.138,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.218.193.119,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.152.155,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
