VPC Name,VPC CIDR
dpifishnonprodVPC,10.250.224.0/20
dreqaVPC,10.246.64.0/20
nownonprodVPC,10.251.112.0/20
bsfanonprodVPC,10.251.0.0/20
dreqaVPC2,10.246.48.0/20
epanonprodVPC,10.251.144.0/20
dpiagVPC,10.250.112.0/20
kmnonprod-vpc01,10.247.20.0/22
dpinonprodVPC,10.251.48.0/20
dpifishVPC,10.250.128.0/20
finnonprodVPC,10.246.224.0/20
lgnswprodVPC,10.250.0.0/20
crownlandsnonprodVPC,10.250.208.0/20
kmprodVPC,10.246.240.0/20
llsVPC,10.250.32.0/20
bsfaprodVPC,10.251.16.0/20
external perimeter,10.245.24.0/21
llsnonprodVPC,10.250.48.0/20
nowprodVPC,10.251.96.0/20
wksprodVPC,10.245.192.0/19
epaprodVPC,10.251.128.0/20
megnonprodVPC,10.246.56.0/21
Shared VPC,10.245.80.0/20
MulesoftProd,10.247.24.0/22
megprodVPC,10.246.48.0/21
osbcdevVPC,10.245.176.0/20
finprodVPC,10.245.224.0/20
crownlandsprodVPC,10.250.192.0/20
dmz2VPC,10.250.64.0/20
Mulesoft,10.247.28.0/22
dpiprodVPC,10.251.32.0/20
10.0.0.0/8,10.0.0.0/8
172.16.0.0/12,172.16.0.0/12
141.243.0.0/16,141.243.0.0/16
148.145.0.0/16,148.145.0.0/16
203.11.147.0/24,203.11.147.0/24
203.11.144.0/24,203.11.144.0/24
203.11.145.0/24,203.11.145.0/24
