Time,Src Address,Src Type,Src Port,Src Name,Dst Address,Dst Type,Dst Port,Dst Name,Bytes,Packets,Action,undefined
2023-11-02T21:12:49Z,10.249.1.191,Instance,60865,amaprdboomi02b,10.244.201.129,UnknownInternal,514,,210169,1180,ACCEPT,
2023-11-02T21:12:49Z,10.249.1.191,Instance,1009,amaprdboomi02b,10.244.201.135,UnknownInternal,1023,,88,1,ACCEPT,
2023-11-02T21:12:49Z,10.244.201.135,UnknownInternal,1023,,10.249.1.191,Instance,1009,amaprdboomi02b,56,1,ACCEPT,
2023-11-02T21:11:49Z,10.45.33.253,UnknownInternal,20702,,10.249.11.6,Instance,46226,amatestboomi,370,5,ACCEPT,
2023-11-02T21:11:49Z,10.247.29.218,UnknownInternal,46718,,10.249.11.6,Instance,22,amatestboomi,3324,21,ACCEPT,
2023-11-02T21:11:49Z,10.249.11.6,Instance,46226,amatestboomi,10.45.33.253,UnknownInternal,20702,,456,8,ACCEPT,
2023-11-02T21:11:49Z,10.45.33.253,UnknownInternal,20702,,10.249.11.6,Instance,59764,amatestboomi,370,5,ACCEPT,
2023-11-02T21:11:49Z,10.249.11.6,Instance,40491,amatestboomi,172.31.28.19,UnknownInternal,28001,,585,6,ACCEPT,
2023-11-02T21:11:49Z,172.31.28.19,UnknownInternal,28001,,10.249.11.6,Instance,40491,amatestboomi,505,6,ACCEPT,
2023-11-02T21:11:49Z,10.249.11.6,Instance,22,amatestboomi,10.247.29.218,UnknownInternal,46718,,4977,19,ACCEPT,
2023-11-02T21:11:49Z,10.249.11.6,Instance,59764,amatestboomi,10.45.33.253,UnknownInternal,20702,,456,8,ACCEPT,
2023-11-02T21:12:21Z,10.247.29.218,UnknownInternal,56192,,10.249.11.6,Instance,22,amatestboomi,3376,22,ACCEPT,
2023-11-02T21:12:21Z,10.249.11.6,Instance,22,amatestboomi,10.247.29.218,UnknownInternal,56192,,4977,19,ACCEPT,
2023-11-02T21:12:21Z,10.249.11.6,Instance,22,amatestboomi,10.247.29.218,UnknownInternal,51478,,4977,19,ACCEPT,
2023-11-02T21:12:21Z,10.247.29.218,UnknownInternal,51478,,10.249.11.6,Instance,22,amatestboomi,3324,21,ACCEPT,
2023-11-02T21:12:21Z,10.247.29.218,UnknownInternal,46658,,10.249.11.6,Instance,22,amatestboomi,65308,786,ACCEPT,
2023-11-02T21:12:21Z,10.249.11.6,Instance,22,amatestboomi,10.247.29.218,UnknownInternal,46658,,4133312,2880,ACCEPT,
2023-11-02T21:12:18Z,10.244.201.135,UnknownInternal,1023,,10.249.1.191,Instance,1007,amaprdboomi02b,56,1,ACCEPT,
2023-11-02T21:12:18Z,10.249.1.191,Instance,1008,amaprdboomi02b,10.244.201.135,UnknownInternal,1023,,88,1,ACCEPT,
2023-11-02T21:12:18Z,10.249.1.191,Instance,1007,amaprdboomi02b,10.244.201.135,UnknownInternal,1023,,88,1,ACCEPT,
2023-11-02T21:12:18Z,10.244.201.135,UnknownInternal,1023,,10.249.1.191,Instance,1008,amaprdboomi02b,56,1,ACCEPT,
2023-11-02T21:12:17Z,10.207.88.61,UnknownInternal,64718,,10.249.1.122,Instance,80,amaprdzcmsat,340,4,ACCEPT,
2023-11-02T21:12:17Z,10.74.67.138,UnknownInternal,49894,,10.249.1.122,Instance,445,amaprdzcmsat,690,9,ACCEPT,
2023-11-02T21:12:17Z,10.0.96.180,UnknownInternal,57905,,10.249.1.122,Instance,445,amaprdzcmsat,82,2,ACCEPT,
2023-11-02T21:12:17Z,10.164.56.106,UnknownInternal,56525,,10.249.1.122,Instance,445,amaprdzcmsat,660,7,ACCEPT,
2023-11-02T21:12:17Z,10.70.23.238,UnknownInternal,64604,,10.249.1.122,Instance,445,amaprdzcmsat,52,1,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.159.67.74,UnknownInternal,50043,,40,1,ACCEPT,
2023-11-02T21:12:17Z,10.159.64.2,UnknownInternal,57104,,10.249.1.122,Instance,445,amaprdzcmsat,52,1,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.205.66.177,UnknownInternal,59965,,272,3,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.0.96.72,UnknownInternal,61957,,52,1,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.205.64.207,UnknownInternal,55934,,616,5,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.164.12.27,UnknownInternal,53222,,1858,11,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.198.177.201,UnknownInternal,49857,,104,2,ACCEPT,
2023-11-02T21:12:17Z,10.0.96.179,UnknownInternal,64363,,10.249.1.122,Instance,445,amaprdzcmsat,82,2,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,80,amaprdzcmsat,10.207.88.61,UnknownInternal,64740,,1577,4,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.21.146.142,UnknownInternal,63957,,3671,19,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,80,amaprdzcmsat,10.207.88.61,UnknownInternal,55806,,1577,4,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,81,amaprdzcmsat,10.0.96.121,UnknownInternal,58226,,862,5,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.141.161.162,UnknownInternal,64430,,104,2,ACCEPT,
2023-11-02T21:12:17Z,10.0.96.68,UnknownInternal,50139,,10.249.1.122,Instance,81,amaprdzcmsat,1358,6,ACCEPT,
